_id,Year,Ontario GHG ID,Facility Owner,Facility Name,Facility City,Facility Primary NAICS Code,Carbon dioxide (CO2) from non-biomass in CO2e (t),Carbon dioxide (CO2) from biomass in CO2e (t),Methane (CH4) in CO2e (t),Nitrous oxide (N2O) in CO2e (t),Sulphur hexafluoride (SF6) in CO2e (t),Hydrofluorocarbons (HFCs) in CO2e (t),Perfluorocarbons (PFCs) in CO2e (t),Nitrogen Trifluoride (NF3) in CO2e (t),Total CO2e from all sources in CO2e (t),Reporting Amount in CO2e (t),Verification Amount in CO2e (t),Accredited Verification Body,EPS Facility
2039,2018,1090,London Health Sciences Centre,Victoria Hospital,London,622111,46436,0,171.045,337.28,0,0,0,0,46945,"46,945","46,945",GHD,
2040,2018,1091,Darling International Canada Inc.,Moorefield,Moorefield,311614,25687.244,0,10.626,139.81,0,0,0,0,25838,"25,838","25,838",Internat Energy Solutions Canada,
2041,2018,1092,Maple Lodge Farms Ltd.,Maple Lodge Farms,Brampton,311615,29067,0,12.012,158.41,0,0,0,0,29238,"29,238","29,238",GHD Limited,
2042,2018,1093,Nemak of Canada Corp.,WINDSOR ALUMINUM PLANT,Windsor,331529,29394,0,12.159,159.96,0,0,0,0,29567,"29,567","29,567",PricewaterhouseCoopers LLP,
2043,2018,1094,New Forest Paper Mills LP,New Forest Paper Mills LP,Scarborough,322130,57467,3317,23.7762,312.852,0,0,0,0,61121,"57,804","57,804",RWDO,
2044,2018,1095,Cochrane Power Corporation,Cochrane Generating Station,Cochrane,221112,0,0,0,0,0,0,0,0,0, -   , -   ,,
2045,2018,1096,Northland Power Inc.,Iroquois Falls Generating Station,Iroquois Falls,221112,9402.436,0,49.245,75.02,0,0,0,0,9527,"9,527","9,527",GHD Limited,
2046,2018,1097,Northland Power Inc.,Kingston CoGen,Bath,221112,1178.6579,0,6.4568,9.5316,0,0,0,0,1195,"1,195","1,195",GHD,
2047,2018,1098,Northland Power Inc.,Kirkland Lake Generating Station,Kirkland Lake,221112,214328.065,176911.544,2362.353,4073.71,0,0,0,0,397676,"220,765","220,765",GHD Limited,
2048,2018,1099,Northland Power Inc.,Thorold Cogen Generating Station,Thorold,221112,162394.826,0,885.885,1311.3,0,0,0,0,164593,"164,593","164,593",GHD Limited,
2049,2018,1100,NOVA Chemicals (Canada) Ltd.,Corunna Site,Corunna,325110,952441.315,0,3768.408,3349.55,0,0,0,0,959560,"959,560","959,560",GHD Limited,
2050,2018,1101,NOVA Chemicals (Canada) Ltd.,Moore Site,Mooretown,325210,47802.861,0,31.206,233.12,0,0,0,0,48068,"48,068","48,068",GHD Limited,
2051,2018,1102,NOVA Chemicals Corporation,St. Clair River Site,Corunna,325210,69047.847,0,53.403,344.72,0,0,0,0,69446,"69,446","69,446",GHD Limited,
2052,2018,1103,O-I Canada Corp.,Plant #31 Brampton,Brampton,327214,73127,0,23.247,305.97,0,0,0,0,73457,"73,457","73,457",Enviro Access,
2053,2018,1104,Ontario Power Generation Inc.,Atikokan Generating Station,Atikokan,221119,16273,161964,1097.88,2151.4,0,0,0,0,181487,"19,523","19,523",GHD Limited,
2054,2018,1106,Ontario Power Generation Inc.,Lennox Generating Station,Greater Napanee,221112,105575.8,0,135.03,666.5,0,0,0,0,106378,"106,378","106,378",GHD Limited,
2055,2018,1109,Oxy Vinyls Canada Co.,Niagara PVC Plant,Thorold,325210,46583,0,19.5353,270.5392,0,0,0,0,46874,"46,874","46,874",Stantec,
2056,2018,1111,Petro-Canada Lubricants Inc.,Mississauga Lubricants Centre,Mississauga,324190,447728.7359,0,1255.4682,2344.282,0,0,0,0,451329,"451,329","451,329",Ruby Canyon Engineering,
2057,2018,1113,Plains Midstream Canada ULC,Sarnia Fractionation Plant,Sarnia,211113,152653,0,235.2609,833.683,0,0,0,0,153722,"153,722","153,722",GHD,
2058,2018,1116,Portlands Energy Centre LP,Portlands Energy Centre,Toronto,221112,424040,0,2309.16,3425.5,0,0,0,0,429775,"429,775","429,775",Stantec,
2059,2018,1117,Queen's University at Kingston,Queen's University - Kingston Main Campus,Kingston,611310,49991.55,0,20.952,307.1883,0,0,0,0,50320,"50,320","50,320",Internat Energy Solutions Canada,
2060,2018,1118,Redpath Sugar Ltd,Toronto Refinery,Toronto,311310,69677.03,0,28.9145,395.5464,0,0,0,0,70102,"70,102","70,102",GHD Limited,
2061,2018,1120,Produits forestiers Résolu,Resolute Forest Products - Thunder Bay Operations,Thunder Bay,322112,166518,1107542,7495.089,17485.488,0,0,0,0,1299041,"191,499","191,499",GHD,
2062,2018,1121,ROXUL Inc.,ROXUL Inc.,Milton,327990,83252.2,0,17.703,191.735,0,0,0,0,83462,"83,462","83,462",Stantec Consulting Ltd.,
2063,2018,1122,Safety-Kleen Canada Inc.,Oil Recovery Division,Breslau,324190,46394.47,0,6.6703,159.2796,0,0,0,0,46561,"46,561","46,561",Stantec Consulting Ltd,
2064,2018,1123,Sanofi Pasteur Limited,Sanofi Pasteur Limited,Toronto,325410,46632,0,231.357,364.56,0,0,0,0,47317,"47,317","47,317",GHD Limited,
2065,2018,1124,City of Sault Ste. Marie,West End Water Pollution Control Plant,Sault Ste. Marie,221320,284.3013,0,0.1144,492.063,0,0,0,0,777,777,777,,
2066,2018,1125,Shell Canada Products,Sarnia Manufacturing Centre,Corunna,324110,722126.8769,0,2288.6556,2733.983,0,0,0,0,727150,"727,150","727,150",Stantec,
2067,2018,1126,Sonoco Canada Corporation,Sonoco Brantford,Brantford,322130,24594.5,0,10.164,133.92,0,0,0,0,24739,"24,739","24,739",GHD Limited,
2068,2018,1127,Sonoco Canada Corporation,Sonoco - Trent Valley Mill,Trenton,322130,38080.4,0,15.75,207.08,0,0,0,0,38304,"38,304","38,304",GHD Limited,
2069,2018,1128,"St. Clair Power, LP",St. Clair Energy Center,Corunna,221112,299955.3566,0,1643.1765,2425.626,0,0,0,0,304025,"304,025","304,025",RWDI Air Inc.,
2070,2018,1129,St. Marys Cement Inc. (Canada),Bowmanville Cement Plant,Bowmanville,327310,1514746.417,7142.1888,257.0165,1428.0758,0,0,0,0,1523574,"1,516,432","1,516,432",Enviro-accès inc.,
2071,2018,1130,St. Marys Cement Inc. (Canada),St. Marys Cement Plant,St. Marys,327310,515377.0097,0,104.1795,389.763,0,0,0,0,515871,"515,871","515,866",Internat Energy Solutions Canada,
2072,2018,1131,Strathcona Paper GP Inc.,Strathcona Paper LP,Napanee,322130,31542.644,0,13.041,171.74,0,0,0,0,31728,"31,728","31,728",GHD,
2073,2018,1132,INEOS Styrolution Canada Ltd.,INEOS Styrolution,Sarnia,325110,111060.9112,0,175.8288,463.1493,0,0,0,0,330086,"111,700","111,700",SAI Global,
2074,2018,1133,Suncor Energy Products Partnership,Sarnia Refinery,Sarnia,324110,756591.3613,0,8832.9696,4058.2561,0,0,0,0,769483,"769,483","769,483",Ernst & Young LLP,
2075,2018,1134,Suncor Energy Inc.,St. Clair Ethanol Plant,Mooretown,325190,156813.6626,1128.11,64.8816,853.678,0,0,0,0,158861,"157,733","157,733",Ernst & Young LLP,
2076,2018,1135,Rayonier A.M. Canada G.P.,Kapuskasing Operations,Kapuskasing,322122,22331.694,242738.117,1641.318,3333.74,0,0,0,0,270045,"27,307","27,307",Enviro-access,
2077,2018,1136,Algoma Tubes Inc.,Tenaris Algoma Tubes,Sault Ste. Marie,331210,76623,0,31.71,417.26,0,0,0,0,77072,"77,072","77,072",GHD,
2078,2018,1137,Terra International (Canada) Inc.,CF Industries Courtright Nitrogen Complex,Courtright,325313,665789.5267,0,6384.8148,35894.249,0,0,0,0,708069,"708,069","708,069",,
2079,2018,1138,AV Terrace Bay Inc.,AV Terrace Bay,Terrace Bay,322112,136600.08,828254.6,5577.348,13242.27,0,0,0,0,983675,"155,420","155,420",Enviro-access,
2080,2018,1139,The International Group Inc.,Agincourt Plant,Toronto,324190,37179.3641,0,15.7905,202.9105,0,0,0,0,37399,"37,399","37,399",GHD,
2081,2018,1140,Toyota Motor Manufacturing Canada Inc.,Toyota Motor Manufacturing Canada Inc. (Cambridge),Cambridge,336110,94402.344,0,39.081,515.22,0,0,0,0,94957,"94,957","94,957",Stantec Consulting Ltd,
2082,2018,1141,Toyota Motor Manufacturing Canada Inc.,Toyota Motor Manufacturing Canada Inc. (Woodstock),Woodstock,336110,37354.322,0,15.477,204.6,0,0,0,0,37575,"37,575","37,575",Stantec Consulting Ltd,
2083,2018,1143,TransAlta Generation Partnership,Ottawa Health Sciences Centre (OHSC) Cogeneration Facility,Ottawa,221112,33696.9326,0,184.5942,272.49,0,180.7,0,0,34335,"34,335","34,155",GHD,
2084,2018,1144,TransAlta Sarnia Cogeneration L.P.,Sarnia Regional Cogeneration Facility,Sarnia,221112,968799.6847,0,5307.1578,7834.382,0,266.605,0,0,982208,"982,208","981,942",GHD,
2085,2018,1145,TransAlta Generation Partnership,Windsor Essex Cogeneration Plant,Windsor,221112,13498,0,73.9452,109.151,0,0,0,0,13682,"13,682","13,682",GHD,
2086,2018,1146,TransCanada Energy Ltd.,Halton Hills Generating Station,Halton Hills,221112,477986.0674,0,2618.4438,3865.328,0,0,0,0,484470,"484,470","484,470",Ernst & Young LLP,
2087,2018,1147,TransCanada PipeLines Ltd.,"TransCanada Pipeline, Ontario",Kenora,486210,733951.4092,0,164962.0455,6054.92,0,0,0,0,904969,"904,969","755,473",Ernst & Young LLP,
2088,2018,1148,Stelco Inc.,Hamilton,Hamilton,331110,248284.67,3343.8064,15540.8295,666.531,0,0,0,0,267836,"264,493","249,025",RWDI Air Inc.,
2089,2018,1149,Stelco Inc.,Lake Erie,Haldimand County,331110,3775441.741,0,13994.463,1863.1,0,0,0,0,3791300,"3,791,300","3,777,447",RWDI,
2090,2018,1150,Enbridge Gas Inc.,UG - Natural Gas Transmission and Distribution,Chatham,221210,301066.8019,0,208489.3335,2459.664,0,0,0,0,512016,"512,016","306,895",Ernst & Young LLP,
2091,2018,1151,University of Guelph,Guelph Campus,Guelph,611310,40346.3516,0,16.6474,232.4138,0,0,0,0,40596,"40,596","40,596",Internat Energy Solutions Canada,
2092,2018,1152,The Governing Council of the University of Toronto,St George Campus,Toronto,611310,76096.66,0,124.95,480.5,0,0,0,0,77867,"77,867","77,867",Dillon Consulting,
2093,2018,1153,The University of Western Ontario,Main Campus,London,611310,52621.98,0,21.84,307.83,0,0,0,0,52952,"52,952","52,952",GHD Limited,
2094,2018,1156,Whitby Cogeneration L.P.,Whitby Cogeneration,Whitby,221112,219559,0,347.76,1791.8,0,0,0,0,221699,"221,699","221,699",Stantec Consulting Ltd.,
2095,2018,1157,Glencore Canada Corporation,Kidd Metallurgical Site,Timmins/District of Cochrane,212233,24106.724,0,9.9754,131.1548,0,0,0,0,24248,"24,248","24,248",,
2096,2018,1158,Glencore Canada Corporation,Sudbury Integrated Nickel Operations Smelter,Falconbridge,331410,130543.1772,0,11.7033,153.977,0,0,0,0,130709,"130,709","130,709",GHD Limited,
2097,2018,1159,York University,Keele Campus,Toronto,611310,64116.972,0,243.159,469.03,0,0,0,0,64830,"64,830","64,830",Internat Energy Solutions Canada,
2098,2018,1160,York Energy Centre LP,York Energy Centre,Newmarket,221112,11826.043,0,64.785,95.48,0,0,0,0,11987,"11,987","11,987",GHD Limited,
2099,2018,1162,City of Hamilton,Glanbrook Landfill Site,Hamilton,562210,0,19469,7.4886,11.0546,0,0,0,0,19488,19,19,,
2100,2018,1163,Greenfield Global Inc.,Tiverton,Tiverton,325190,25569.55,0,10.8825,168.0913,0,0,0,0,25749,"25,749","25,749",GHD Limited,
2101,2018,1164,Magna Exteriors Inc.,POLYCON INDUSTRIES,Guelph,326193,37027.3,0,114.66,264.12,0,0,0,0,37407,"37,407","37,407",GHD Limited,
2102,2018,1165,University of Windsor,University of Windsor,Windsor,611310,22527.758,0,91.833,167.71,0,0,0,0,22788,"22,788","22,788",,
2103,2018,1166,Ruetgers Canada Inc.,Ruetgers Canada Inc,Hamilton,325190,28941.6,0,11.844,155.62,0,0,0,0,29110,"29,110","29,110",GHD Ltd,
2104,2018,1167,Kawartha Ethanol Inc.,Kawartha Ethanol Inc.,Havelock,325190,40356.21,0,16.695,219.79,0,0,0,0,40593,"40,593","40,593",GHD Limited,
2105,2018,1168,Vale Canada Limited,"Copper Cliff Mining, Smelting and Refining Complex",Copper Cliff,331410,358106,0,119.2947,1585.712,201.64,0,0,0,360013,"360,013","360,013",RWDI,
